AGENT_ID,NAME,MONTH,TOTAL_PREMIUM
AGENT-29ed4a6f-c77a-4aaf-9d09-90debc6a6664,Jeffrey Russell,Mon Jul 31 2023 19:00:00 GMT-0500 (Central Daylight Time),29602.97
AGENT-b2624ea9-6a59-4f69-9365-288e3ee923c5,Emily Flores,Fri Jun 30 2023 19:00:00 GMT-0500 (Central Daylight Time),49332.24
AGENT-ea8800ea-2f3d-4040-804a-d273a2d5472f,Nancy Jones,Wed May 31 2023 19:00:00 GMT-0500 (Central Daylight Time),38684.33
AGENT-c30bdde2-2cf7-4a3d-99ab-1c6d8c103dd4,Reginald Clark,Sun Apr 30 2023 19:00:00 GMT-0500 (Central Daylight Time),40075.71
AGENT-4f7441b8-1f31-4dc3-88cc-7b3090932bf3,Daisy Martinez,Fri Mar 31 2023 19:00:00 GMT-0500 (Central Daylight Time),42646.02
AGENT-17431081-50e0-4acb-8840-c63c98240524,Tammy Cooper,Tue Feb 28 2023 18:00:00 GMT-0600 (Central Standard Time),42916.08
AGENT-05558061-c442-4a6c-bcb7-b16aa96d7d1d,Jennifer Travis,Tue Jan 31 2023 18:00:00 GMT-0600 (Central Standard Time),41519.94
AGENT-bde6bc87-b8fc-464f-b9df-3809d4be6ac7,Thomas Vega,Sat Dec 31 2022 18:00:00 GMT-0600 (Central Standard Time),36158.98
AGENT-ac9a86fe-4730-4081-a869-885739b02b46,Jerome Livingston,Wed Nov 30 2022 18:00:00 GMT-0600 (Central Standard Time),37528.08
AGENT-16beef9e-85f3-4f1d-a55b-3c562719fa17,Melissa Ray,Mon Oct 31 2022 19:00:00 GMT-0500 (Central Daylight Time),37650.05
AGENT-ec193678-16e1-496e-b182-5e729f4f9927,John Wright,Fri Sep 30 2022 19:00:00 GMT-0500 (Central Daylight Time),49547.11
AGENT-f81fc6b3-a88f-4577-bdcb-33ef237d4e14,Ronald Thompson,Wed Aug 31 2022 19:00:00 GMT-0500 (Central Daylight Time),38580.68
AGENT-3946bc8a-6139-4177-a7e9-cc9a9350a9c7,Stacey Silva,Sun Jul 31 2022 19:00:00 GMT-0500 (Central Daylight Time),56929.51
AGENT-34743d6c-c89d-40c6-8aee-d09ab5aa4062,Michelle Simpson,Thu Jun 30 2022 19:00:00 GMT-0500 (Central Daylight Time),42169.54
AGENT-e6bebad4-55ed-4e41-ae8e-02fb358be80e,Kristopher Rivera,Tue May 31 2022 19:00:00 GMT-0500 (Central Daylight Time),33794.29
AGENT-2b39943b-e901-4546-94f4-d663fd571f80,Gabriel Hancock,Sat Apr 30 2022 19:00:00 GMT-0500 (Central Daylight Time),33910.2
AGENT-cff31f78-308e-457e-9f33-7bf61a04fc0a,Mrs. Karen Peterson MD,Thu Mar 31 2022 19:00:00 GMT-0500 (Central Daylight Time),44596.64
AGENT-96caeaf9-e7db-4848-be48-57fd72be52fc,Erika Melton,Mon Feb 28 2022 18:00:00 GMT-0600 (Central Standard Time),30337.91
AGENT-98702d78-e0c7-4a6d-bb0a-56d89283bfe5,Melissa Horton,Mon Jan 31 2022 18:00:00 GMT-0600 (Central Standard Time),29382.64
AGENT-3a9bc1ba-5ed8-4556-bc43-733c4a3420c2,Luke Foley,Fri Dec 31 2021 18:00:00 GMT-0600 (Central Standard Time),38934.44
