POLICY_ID,PREMIUM,AGENT_NAME
POLICY-00c76a4c-251d-43ef-9194-fd5140651a9c,6868.81,Jennifer Mckinney
POLICY-00c8406c-28c6-4e17-a2aa-8d9e383b582f,1389.31,Robert Kim DDS
POLICY-00ce8304-1644-46f0-9c04-99a4a61f18c7,2650.04,Erin Sanchez
POLICY-00d04214-d10f-4532-990b-15cbd875d0d3,8204.88,Stephanie Delacruz
POLICY-00dcbc51-03ba-4b70-ab17-5e8fd18aa164,15202.25,William Carroll
POLICY-00e148a8-5975-474b-ba7c-dde3dd38675c,8563.08,Richard Casey
POLICY-00e2424f-6976-4809-b7ca-afca97973e10,1509.96,Chad Washington
POLICY-00e825b4-87a7-418a-bc45-d8129f3cfffb,2552.42,Mark Brown
POLICY-00e9d0d7-a6d3-4932-b20f-bbc4cab5216c,4944.6,Jordan Gonzalez
POLICY-00ee1825-18f5-4999-9a19-1b733076ab3b,1596.03,Nathan Lara
POLICY-00f22de1-b290-4963-b0cf-dbd0111275f1,4586.9,Mr. Ruben Lane
POLICY-00f3c1da-b6a9-4ab6-be5a-9daf8011a0e0,1530.92,Bradley Mcclure
POLICY-00f629eb-d056-4350-9534-f29435a918ad,15375.6,Robert Wilson
POLICY-00fc2b14-5a3f-4790-ae1e-31c32efb11f3,9616.51,James Lopez
POLICY-0101196e-9e67-41dc-b3dc-0db349fdf6b2,3529.6,Brenda Clark
POLICY-01018bce-920b-491b-8e99-e5a4abe6f0ad,2416.3,Paul Kim
POLICY-0102dc36-cfe1-4998-b7e3-7634e3f0bfda,4358.7,Robert Brown
POLICY-010560c3-53b6-41cf-b32c-054994175732,8052.64,Loretta Phillips
POLICY-0105e7cf-28e2-4cc8-9d4a-8cdce2d083d1,8865.68,Brian Lara
POLICY-01156d95-ba16-44fd-95ec-6bdf953a4db8,10325.09,Yvonne Luna
POLICY-0115a392-2ad3-453e-9ff3-3c829c92d794,4421.42,Alexander Hill
POLICY-01197ea1-e658-44b8-9286-cc5b1101e0d9,12763.16,Kristi Anderson
POLICY-011a606c-249c-4e86-b166-77766aecf267,4469.38,Scott Marks
POLICY-011dd84f-e5bb-4c59-b8c6-b6b0c569762a,6113.82,Daniel Martin
POLICY-01229c93-8b8d-4919-bc04-90ed41eb8f40,3650.97,Brian Ward
POLICY-0123d8c9-cce4-4164-b2a2-07aaba2ee7c2,18636.13,Jasmin Walsh
POLICY-0124ad54-7b7c-4c80-9fd6-07e1c8d18c96,2966.12,Jasmin Walsh
POLICY-012630c6-7f56-4716-be64-b9a1e8994f3e,5771.75,Megan Ortega
POLICY-0127fceb-dbbf-43d9-920c-77a4bbaa5e51,11655.17,Jason Parker
POLICY-012e1ed0-d6fb-49ed-82be-277524f17c88,2396.01,Travis Roth
POLICY-01370d41-3849-4edd-adab-54d6390162a2,3716.11,Wayne Robertson
POLICY-0143bd57-cb68-47cd-b043-3c3c49e28100,4314.38,Martin Curry
POLICY-0144eb6f-1b8a-48d8-bddc-20608af6d411,3981.31,Robert Barrera
POLICY-014868a6-0f1d-43b1-afc5-a3b87a628921,2462.04,Angela Adkins
POLICY-0148b3c7-eacb-4209-a23a-71ccc024c144,8665.96,Natalie Santos
POLICY-014c7008-1f4c-4389-821e-59a7f23ddbf6,4827.39,John Sanders
POLICY-014e4b75-f1cb-4d5d-8fdc-854bcdb3d4a4,14624.73,Michele Mason
POLICY-01588487-8b69-41aa-8f18-ea10a73934de,6336.98,David Stevenson
POLICY-01592c81-5935-4591-a09b-5092a378705a,6576.78,Sherry Manning
POLICY-0159b7c0-3de2-4b69-b202-f6d2b86b361a,3235.38,Donna Bush
POLICY-015a8b97-8b19-434d-8cd2-e97f06d4f356,3056.08,Adam Garcia
POLICY-015e7d3b-5bd1-447a-bc75-a9b2d13a372a,1061.36,Jose Brooks
POLICY-015f5fef-fca0-49e7-b594-c0687b96db0c,2426.53,Jamie Ward
POLICY-016304ce-5598-4a61-bda2-0499655c9a12,3948.95,Robert Barrera
POLICY-01659eaf-c721-4d72-8cb8-6e3b577f309c,3192.23,William Reed
POLICY-0169cb6f-eceb-4bb7-86fa-0c06a227fa32,7889.26,Kristina Campbell
POLICY-016acbd4-f507-41c8-a4bf-663ee44de232,2868.7,Robin Jefferson
POLICY-016b83e6-3e20-4338-9950-f29e9c8a0c50,12244.47,Crystal Mcgee
POLICY-016cf19d-79bf-4975-a9ea-877a9cb780e2,8426.32,Daniel Williams
POLICY-0174c98a-2988-47ec-a183-53a9ec1a4e57,7143.49,Robert Barrera
POLICY-017c9be7-7a40-4d0f-ac97-c06c1a3f6923,892.52,Charles Ball
POLICY-018683f1-00e1-4e07-8277-ee004331b86d,4769.16,Emily Flores
POLICY-01876dea-9894-45cf-a5bb-4a42dc26ffda,845.46,Joseph Butler
POLICY-0191b303-3e35-4e58-99b2-88f305ecefae,13473.52,Tyler Jones
POLICY-01951b3e-ed05-4c70-b3d7-3ffbeb7e9c78,4914.96,Chloe Rodriguez
POLICY-0196e72e-5d37-4fba-becd-0b27a9e0694c,10652.6,Christopher Thomas
POLICY-0198f7b2-79be-4d2a-a76d-515903f2cf1a,541.81,Marcus Mcconnell
POLICY-019c5704-5bb5-453f-b64c-35819cc0d7cf,6704.68,Steven Huang
POLICY-019e663f-aad8-4166-af06-befa600fa480,9034.42,Todd Mack
POLICY-019eb228-1478-433e-a815-d049865fa7a4,5370.25,Barbara Jones
POLICY-01a47cc3-73da-43f0-9f6d-b43459139154,2186.24,Eric Hutchinson
POLICY-01a56e72-363d-4009-b113-1841b8885946,1588,Suzanne Miller
POLICY-01a6e05b-fd45-470a-b0f5-a87c2b8a7f30,1034.13,Jamie Ward
POLICY-01a8af75-1802-4632-a1b7-16323dd5ee9e,6723.9,Tracy Williams
POLICY-01b03b81-80ee-4872-9e70-3e125af97cd9,5237.63,Michael Henry
POLICY-01b04cec-2dce-4aaf-bb11-4f15aee6f8be,13489.35,Jessica Becker
POLICY-01b7118d-222c-4275-b4ca-834c3064358e,4362.97,Tina Coleman
POLICY-01ba0eb6-9cdc-4474-9efe-d29de13bd3aa,2952.3,Jared Schneider
POLICY-01baa931-8caf-4528-bcbb-ca5599f729dd,6119.77,Jonathan Pena
POLICY-01c76346-dece-4205-a20a-aa7d2ed28bbd,6999.51,Ashley Riley
POLICY-01d27ead-9166-4944-85c7-b30257e09ed6,691.81,Nathan Lara
POLICY-01d730af-242e-4bae-96a9-ce67ddb595f5,3550.01,Elizabeth King
POLICY-01d7e874-27ed-4ba3-9a49-5e75e4beaf43,9123.58,Andrea Bridges
POLICY-01d87793-4f50-47b8-bf3b-8f3b5187eb71,4191.58,Stanley Donovan
POLICY-01e3c322-c959-46ab-a6e0-12535cb8da67,13988.77,Rachel Clark
POLICY-01ef80bd-22ad-4ec7-92e4-5cbbf21e8c5f,3238.35,Kelly Evans
POLICY-01f491ec-280a-41a4-9dfc-43e2d4920d15,4980.65,Micheal Miller
POLICY-01f78c54-90d4-4905-9b12-4b5ccd1811a4,1013.71,Raymond Wolf
POLICY-01fbf368-c0fb-4cd5-a982-77aca9c65d0f,4764.66,Christine Mendoza
POLICY-020356f1-4348-433f-a7a0-b13144d3b239,2244.69,Jonathan Coffey
POLICY-0203baa5-bffd-430e-b8bd-15f3084d3a39,2743.06,Carly Burton
POLICY-02059b3c-e030-415e-8de1-18629675f79c,3104.79,Stacy Bradley
POLICY-020c122b-2309-4545-b1db-9c01c91b1bf1,2588.97,Sara Wood
POLICY-02104fe7-cfae-4fd5-b9d3-5e2966075440,8169.55,Jamie Ward
POLICY-0211b12a-a5fc-4224-a708-2f78a6303c22,4911.73,Mark Higgins
POLICY-02187cb2-5da0-44cb-a1b0-4f07ae2f7dfc,1671.35,Brian Ward
POLICY-021986c7-5468-4342-95c1-9082cdbdbc42,7351.59,Joshua Suarez
POLICY-021e28cf-60fc-4dd0-85f5-788642f190c3,5191.63,Kathleen Anderson
POLICY-02205e16-da67-418f-9560-a52d2b6ee7b6,2772.07,Austin Roberts
POLICY-0221e0b9-3e2a-439b-a4f0-5fe8fe5b3d31,7051.63,Yvonne Luna
POLICY-02248f93-e695-4add-aba8-17ce22de6e1a,3336.14,Joshua Nelson
POLICY-023b4e78-2fc4-4b64-beeb-faa7fba7ec71,14762.08,Douglas Stone
POLICY-024157fb-5245-4d0e-9492-93bdd2459983,3887.36,Holly Peterson
POLICY-0250c009-fbc9-488c-b72c-58587ba61223,9857.25,Scott Gibson
POLICY-02525cea-46f7-451a-abe0-039de3637bb6,1672.99,Adam Garcia
POLICY-02540a1b-4061-4497-ba25-380f0b833604,6564.73,Michael Rowland DVM
POLICY-025638ad-ba64-4182-839b-d94eaa5e4a81,3376.35,Joseph Butler
POLICY-02579b0d-d348-495a-afed-6c1784b84554,10000.68,Luis Lee
POLICY-0257fe42-85ca-494c-990f-4750a7e75032,7836.76,Ashley Nguyen
POLICY-025918b7-6238-415f-87df-22a87ac92f34,1414.33,Sheila Rodriguez
POLICY-025ebdc8-8dc6-485b-8d87-4b974854265d,9882.49,Austin Evans
POLICY-02614269-c28c-40a8-b38b-b6087cd51205,10674.62,Marcus Mcconnell
POLICY-026f80a1-ac9f-4367-8dfb-1fe138d222e2,4560.27,Justin Clark
POLICY-027f8b36-3729-4ffe-ba15-5246a0bc3d1b,2732.86,Kristi Anderson
POLICY-028dc762-13ac-487c-8cfd-e47d896ba339,1637,Tyler Garcia
POLICY-02920932-ada9-4bf1-8c12-f10fd57ebd89,4619.75,Anthony Dunn
POLICY-029774de-aba0-4f92-b418-54e0edb10ce8,961.93,Jason Cook
POLICY-029e2fe1-7ad5-4103-b97e-12ef1c894913,2877.65,Jason Parker
POLICY-029e9fc4-98a3-48d2-b242-09871d0826cd,7944.59,Mark Brown
POLICY-02a2e581-8e62-485e-90e8-3cee7bbd4dc3,2586,Jamie Brennan
POLICY-02a37851-041f-4fe0-8d6d-8ae36d0b4be6,3269.59,Ryan Hanna
POLICY-02af7331-d228-404e-80d9-46dadbfe766c,9882.07,Robert Williams
POLICY-02b4d987-de78-43c9-8735-1c17d9dd5a73,7304.21,Cindy Whitaker
POLICY-02ce14c4-c378-47fb-a6b3-19474491a194,7933.66,John Jones
POLICY-02d68490-6228-4531-8ffe-2d63a3d233b8,882.44,Jennifer Mueller
POLICY-02ef6e91-59ae-45cb-8261-4bae2fa3a442,6040.74,Emily Flores
POLICY-02f85ebf-1c8f-42a3-ba1c-e7447d2320b3,2342.68,Matthew Coleman
POLICY-02f91ad5-822b-4a2a-b2b7-88405618ea79,4853.54,David Velazquez
POLICY-02febf7c-8382-443d-9756-180590fb1d3f,4929.49,Sheena Prince
POLICY-03061044-faaa-45e7-a46c-14f1b2ed9de4,9839.79,Jasmin Walsh
POLICY-030c7efd-3e6e-4dbc-925d-54ba38359bbf,3462.14,Raymond Wolf
POLICY-030cb87d-5616-41b5-a3f5-1faeed35742a,5784.13,Jennifer Ewing
POLICY-031a326d-63b3-4a41-9300-dfdf92d3d06d,11557.65,Jennifer Ewing
POLICY-0331397a-48e1-4166-9ac9-abe67a3b2c00,4637.78,Mark Higgins
POLICY-03373f89-5104-4204-a16d-dfac496a4d54,2392.15,Ryan Hanna
POLICY-033ed676-58fe-4e80-9917-865be9f3b798,5510.21,Nicole Washington
POLICY-0341fd90-6962-4c92-83e9-57781127f4aa,2559.87,Justin Ballard
POLICY-034425b7-805c-4f57-9954-fb3a116a99ff,9682.16,Barbara Sanders
POLICY-0353e0f6-3b6c-4758-8483-0f15e58fec15,4376.06,Jennifer Ewing
POLICY-03584a0f-1d5b-43d4-b621-0ff6f6a5a034,5873.31,Robert Jenkins
POLICY-035fc8b3-68e5-4c97-8e1e-70835318082d,575.17,Deanna Maldonado
POLICY-0361b4ae-5822-44fc-9328-260542bd0877,7025.3,Dean Newman
POLICY-03671f1b-0a52-4731-a01c-2b60012fcc1b,6743.83,Thomas Pham
POLICY-036757a5-6d7e-4bc0-b6dc-bc2f24d90b42,4953.65,Alexander Hill
POLICY-036c588f-4cdf-495c-9687-b4b6614c9c45,2436.63,Ashley Riley
POLICY-036f9ed5-685a-4121-a2df-daa988dcbc23,3035.64,Barbara Perez
POLICY-03732279-c0ee-410b-9840-9a9a52f45073,13398.83,Steven Huang
POLICY-037389e8-e43b-45d6-b37b-8df89466dceb,4462.82,Wayne Robertson
POLICY-03792f36-af30-4a43-ae4e-4697c30565cc,3289.08,Charles Ball
POLICY-03848d21-e85c-4ed5-96d6-3d792c44d261,13135.87,Jessica Garcia
POLICY-03852bad-844f-44ff-a01b-947680500fbe,1591.53,Tyler Garcia
POLICY-038b0233-4ebd-4bfe-aace-6d7663bd0bd4,2591.36,Sara Wood
POLICY-038e551d-b365-47f5-8450-93b48ce35fd9,5444.11,Katherine Morgan
POLICY-0391bb1c-206d-45dd-ac5a-7b0f9657379a,9168.1,Monica Randolph
POLICY-03950f5c-0183-4e11-bdd1-4b367fba5820,4918.37,Pamela Johnson
POLICY-039ef9ba-432b-4dc3-a98a-4921b8fdc9c0,1590.59,Alexander Hill
POLICY-03a0d4d1-b763-41e5-b046-6600017d5fd9,7237.26,Daniel Martin
POLICY-03ad1f9d-a161-4d7d-a4c5-d46630b1c4c0,3297.51,Jesse Hamilton
POLICY-03af2102-a106-4065-b0ee-21d4b28b5b0b,2118.37,Lauren Cooper
POLICY-03aff2bb-6cb8-42fb-be2b-2c545f28199a,2690.88,John Wright
POLICY-03b00581-45a9-4cee-9d28-b0bbb31f11ce,5818.4,Ellen Morales
POLICY-03b796f5-9d17-40a7-bfce-c74e2aa8f66a,1582.88,Stephanie Smith
POLICY-03b8568f-b458-4651-bb37-3fa1ae4fc20d,1039.41,Angela Lopez
POLICY-03bc2648-46b1-4434-97f0-18ea05bee531,3980.37,Daniel Johnson DDS
POLICY-03c9c97d-b849-42d2-a955-4f1e7ae5c019,8693.96,Chad Silva
POLICY-03cdafbe-ceed-4eef-b191-3dbf17a6bfd9,9903.87,Richard Delacruz
POLICY-03ce0e8d-bc96-4557-a84a-9712bd808ed6,4181.04,Yvonne Luna
POLICY-03d4472b-db6b-4e2a-bcc3-cb388b7a562f,14590.93,Michelle Bowers
POLICY-03d78415-768c-4339-85d4-9df5f399c290,2632.38,Crystal Mcgee
POLICY-03df55e4-e1f6-4cc5-9a37-4fb92adf3405,4054.87,James Lopez
POLICY-03df7573-9356-41a5-8c98-2713d862442f,2270.93,Annette Wade
POLICY-03e260a3-1b6b-4516-a62f-1f1ab4589df8,4534.46,Lisa Black
POLICY-03e42bf7-5961-44e0-a792-6078853cf274,17653.63,Martha Kaufman
POLICY-03e57ed0-572a-41fc-bc0e-89073ed387b8,8159.23,Martin Curry
POLICY-03e61e44-56ae-4ccc-a014-163e6ad75d96,3067.09,Joseph Tran
POLICY-03ef0201-775d-4e24-80a0-6b099bae4e42,8438.03,Dorothy Henderson
POLICY-03ef8f1d-ab8e-41d4-b8cd-90f28391cb0d,8615.39,Luke Foley
POLICY-03f34890-7f72-4e93-933a-aa5ba22fecbb,1968.22,Kristie Knight
POLICY-03f552fd-7870-409d-81a9-7a1da221e316,5640.69,Ethan Walker
POLICY-040027a4-e252-4cbb-adc4-9ee57a6402c3,6646.53,Larry Arroyo
POLICY-0404d8da-f3f0-490d-9b1b-8b8b65c4d046,5618.77,Michael Rowland DVM
POLICY-04068b1a-2f9d-41db-814c-9b6b97e7dde9,12389.08,Jessica Adams
POLICY-040730f0-48e2-453e-8d4b-b6ce54f533aa,4562.19,Ethan Walker
POLICY-040a3775-44a3-421e-9643-8c87debfcb96,11477.22,Peter Lester
POLICY-040a4f0a-9c83-46a3-99c1-70203247e65c,3005.55,Ashley Nguyen
POLICY-0411c907-aec6-4ee5-9d8f-20f62c20edf9,6839.12,Robert Jenkins
POLICY-04180238-d50e-4119-86f6-e94817a9e84e,12315.79,Jennifer Rivera
POLICY-041b5588-f6d8-4c3c-a4c3-e9a6bf4e438c,12150.51,Joshua Castro
POLICY-0420bf02-4587-4c3f-a8e5-7e1a83b29510,7036.82,Lydia Yates
POLICY-04229fb5-d499-4786-920e-d4091b0cd3fd,17120,Andrea Trevino
POLICY-04298eb0-4dce-466c-a6f8-63827aef1d33,10980.72,John Wright
POLICY-043e2905-f71a-4df0-8716-b1f48874c82a,4489.28,Joshua Suarez
POLICY-043ee1fd-55a4-47fc-a4a4-113670212f3c,1884.16,Jennifer Mckinney
POLICY-043fb50c-958e-41a5-8ed9-743d7a38dc16,19031.02,Joshua Suarez
POLICY-0440324d-9e15-4f6b-b09d-4ea07e7b1e04,4328.34,Chelsey Horne
POLICY-04422a02-7f4d-4afe-bf55-80d62b2ba93e,8440.67,Charles Ball
POLICY-04438e01-6c91-4fbf-b7db-1270494f3b8a,8611.16,Henry Oconnell
POLICY-04489af1-fb46-4e3f-8edb-d54525ecabde,13658.12,Cindy Roberts MD
POLICY-044c70ea-2c78-4881-a58e-ce8e8a9e4327,7367.63,Jermaine Rogers
POLICY-044f62c6-3ba4-4377-a929-0620899daddc,3878.09,Larry Arroyo
POLICY-04530d06-1503-4e3b-a64b-bb29a97614f3,8670.93,Christopher Chavez
POLICY-04557807-3af8-406f-85ec-8946229e29f4,8083.25,Alyssa Colon
POLICY-0456bfe8-49bc-4932-bac0-db490730fe8e,5482.62,Tara Barrera
POLICY-045da8ee-07fe-42b1-9336-2252bffc0863,1664.62,Dean Newman
POLICY-04755364-1534-4d40-b45b-c1c28e70250c,1853.05,Vanessa Ray
POLICY-0475695c-7fc0-4e6e-aa3d-c357a314828b,11564.36,Joan Adams
POLICY-047c13c4-865b-44fc-834b-c28a7239b111,9599.07,Scott Navarro
POLICY-047c31b9-60b3-4694-b440-05d7a930bba8,2979.26,Cynthia Miller
POLICY-047db79f-14cf-4ce4-9082-b825b8a1ec82,8565.69,Jasmin Walsh
POLICY-047f4c23-f0bf-4220-89ed-2d21c36d6ae1,5586.48,Megan Smith
POLICY-04829c22-e400-43f6-9e76-7678954c1c9a,3907.61,John Evans
POLICY-04876503-012e-4f52-b4ae-d4f0856ecece,16150.77,Jessica Adams
POLICY-048b257d-10fd-4404-9d23-b24b75d53243,3277.96,Deanna Maldonado
POLICY-048bc605-1442-41f9-8867-559968e18f49,6876.14,Scott Marks
POLICY-0499a54a-0adc-46f7-af2a-8a5e382d68ce,8963.89,William Jordan
POLICY-04a53275-752b-4537-9fcb-b9f9b1980f78,3242.18,Jerome Livingston
POLICY-04b2144f-9319-4e25-a89b-d84f31bfac2a,6609.32,Alexander Anderson
POLICY-04b974e4-2c2d-4098-a35e-174d9735a1d3,3181.26,Austin Roberts
POLICY-04bd6b3d-881d-412a-8b0d-abd868945147,8877.4,Ashley Rodriguez
POLICY-04c09333-6b90-4544-b3f4-8f4d85617832,14038.16,Nancy Mayer
POLICY-04c8a65d-37d8-4605-b4ee-dc66cafb06cc,8307.75,Sheena Prince
POLICY-04d41b22-7744-461f-b1ac-2e91bcb7991f,11750.64,David Richardson
POLICY-04d51245-8c14-40d3-a61f-212eb5ae7002,14673.5,Jennifer Travis
POLICY-04e03c54-6484-40a9-bcfc-a7b33479665f,2907.64,Ethan Miller
POLICY-04e28176-2b60-4325-b189-d2f1ddaadae3,15125.14,Catherine Williams
POLICY-04e5685b-3b47-4408-9ad0-55d20b2152ef,4441.94,Jonathan Moore
POLICY-04ed8b63-82a1-4a90-aad7-fdb91b95f681,10851.29,Rachel Wright
POLICY-04edec15-2eb1-4fd5-bbf4-148fb805ec6a,14754.66,Yvonne Luna
POLICY-04ef093f-6359-40c5-a3b4-d7a312ff0c42,6066.05,Chloe Rodriguez
POLICY-04fd4957-b7a3-4b5a-a261-9dffc3a2c5fb,4267.69,Steven George
POLICY-0506059a-40c0-439e-8b45-e67576ee27f8,7094.53,Tammy Cooper
POLICY-0508d0fa-e874-4669-8663-12747256a740,4040.23,Robert Williams
POLICY-0509546f-ca86-4d76-a59c-7c820c6809c6,4759.46,Travis Roth
POLICY-050dd659-8f7d-4bb2-89cf-7bb116af4b05,2744.66,Kimberly Allen
POLICY-051128a4-ca17-44a5-bb61-b6d21b00f6eb,14118.64,Jared Schneider
POLICY-051a9c77-50a7-4280-a80b-c9bfa432d5f2,2016.6,Jonathan Coffey
POLICY-051f1768-05c0-4827-a0a2-b5a84a0948df,1700.51,Mark King
POLICY-051f1d3c-3f4c-46b9-b68a-124e92ba5ca7,16434.35,Mary Wagner
POLICY-051fe9f5-739d-45ef-8ccd-6d413ede882a,9043.5,Robin Maynard
POLICY-052af3e1-2326-44c1-87c6-30e82da3605a,3830.81,Kathleen Griffith
POLICY-0531b85a-28ca-4e54-8007-b3bf4450e25d,10878.93,Michael Gibson
POLICY-0531fbe7-1e96-419a-b9b4-d161f1786811,1596.68,Micheal Miller
POLICY-0538d703-f364-487b-b786-97b785bfe833,8522.04,Gabriella Bullock
POLICY-05417faa-487f-4960-8aa6-7ae691494dd6,11616.55,Lawrence Whitehead
POLICY-05463263-01d2-4fa2-b54b-d449c3ea2a08,5301.15,David Anderson
POLICY-0549189b-34c4-4087-a83b-702c8670efad,2092.29,Robin Maynard
POLICY-0549c53c-166c-4023-8678-0076b678b412,774.46,Anthony Dunn
POLICY-054cfe3a-e6f5-486e-8a1d-36afe7540e71,12912.87,Lydia Yates
POLICY-0550ad10-4b7c-45e3-90bd-e0f3b0403813,2822.77,Matthew Clark
POLICY-05548135-2784-4b97-ad57-7b1121a67d80,4229,Robert Wilson
POLICY-055d4386-bb31-4b17-be17-180ac16f1a6d,3918.59,Amy Rivera
POLICY-0561c566-3ae2-485f-951f-8000e10c8db5,5425.93,Claudia Copeland
POLICY-056a9a71-5f42-4fa0-bc01-f8d64cf6767d,1819.29,Barbara Sanders
POLICY-056f6401-9570-49aa-b5ba-20981a03adca,1980.8,Rachel Lee
POLICY-057a6396-aba1-49c5-926e-ea3f83d415c8,10875.03,Angela Adkins
POLICY-057d560f-54d5-4194-b769-f544684da46a,1169.9,Eric Hutchinson
POLICY-05869b4f-a70c-4717-bf05-c0d1c4aa06a1,4670.89,Carrie Martinez
POLICY-05996229-8efc-40f9-9658-fe133cefa922,7576.99,Justin Clark
POLICY-059e2e0f-78a1-4441-ae7c-e53548f32c7e,12914.68,Allison Rodriguez
POLICY-059ec10d-e152-484e-8944-1883e36f627f,1623.99,Kristi Anderson
POLICY-05a247f8-25a6-42a9-95c4-f5188dbddb41,7776.27,Robert Jenkins
POLICY-05a930b2-547f-406f-8bbc-c70c6a716847,1358.01,Kevin Harvey
POLICY-05aaaa85-990b-4e7d-bbd2-95b8a602eb53,4029.6,Jonathan Pena
POLICY-05ad0b2c-920c-478c-8d99-c02968b23a0d,6206.02,Thomas Pham
POLICY-05c83520-eecc-4bca-962f-028af3ab6ffe,3374.32,Susan Reed
POLICY-05cb318b-b9f6-423c-ad9c-e2a9638535d1,5025.12,Justin Ballard
POLICY-05d212d4-f852-4ea0-880b-ee82daa4dd6c,4895.14,Gregory Jones
POLICY-05d98a6f-720d-45dd-b48f-b82e4eab89e4,16870.85,Scott Navarro
POLICY-05db62f5-1e73-466b-8532-d19dc7176582,15169.63,Luke Foley
POLICY-05dc4281-6ed9-4c14-b543-a2abe699c36c,5029.35,Peter Lester
POLICY-05df8ee7-63a1-430d-81f7-b152ceda7176,4366.72,Melissa Ray
POLICY-05e6fe61-81af-4f66-8c34-4a48a835d9cf,14047.78,Catherine Williams
POLICY-05e78eaa-f7b7-4a2f-a662-4ab5be1e63b3,5547.98,Mario Scott
POLICY-05f0c019-31f1-404e-9c04-132df0242c54,7575.15,Amanda Perkins
POLICY-05f27b19-8b81-49fe-b3c4-a050daef1ad4,6813.99,Erika Melton
POLICY-05f64dcb-686a-42ef-9f93-f065c42e31fb,5349.47,Anna Jones
POLICY-05f9ef06-d082-4eb4-bcf2-5dfda848b2e3,3927,Jasmin Walsh
POLICY-05fc77a8-1c1c-4433-a6c3-0461cf84ef01,3098.57,Megan Ortega
POLICY-06086088-5b23-44be-b4ec-8576e132171c,5080.72,Nicolas Robertson
POLICY-0608b57e-b35d-4484-b9d8-61ddaa1d8d52,2150.87,Jeremiah Smith
POLICY-060d6ff4-770a-4a9c-876b-cbe029a1911e,7335.4,Cheryl Benjamin
POLICY-0616e6af-a0ed-42a1-a3af-a5265d85ba8d,4860.54,Holly Ward
