NAME,POLICY_COUNT
Anna Jones,29
William Carroll,29
Nancy Jones,29
Kristina Campbell,29
Anthony Dunn,29
April Mullins,29
Kimberly Allen,29
Elizabeth Gonzalez,29
Jessica Becker,29
Benjamin Byrd,29
Kristopher Rivera,29
Joshua Suarez,28
Tamara Smith,28
Robert Jenkins,28
Erin Ramos,28
William Garcia,28
Cody Harrell,28
Jennifer Reynolds,28
Mark King,28
Douglas Stone,28
Michael Henry,28
Nancy Mayer,28
Nicole Washington,28
William Reed,28
Paul Spencer,28
Colleen Hill,28
Gregg Kelly,28
John Jones,28
Ethan Miller,28
David Stevenson,28
Kevin Harvey,28
Gwendolyn Blanchard,28
Susan Parker,28
Carrie Martinez,28
Tara Shah,28
Daniel Williams,28
Laura Wheeler,28
Colleen Adams,28
Dana Brock,27
Tara Barrera,27
Lisa Adams,27
Reginald Clark,27
Ashley Riley,27
Melissa Ray,27
Chelsey Horne,27
Sergio Smith,27
Stephanie Delacruz,27
Dr. Christopher Davis,27
Kyle Stewart,27
Sheila Rodriguez,27
Monica Randolph,27
Chad Washington,27
Richard Casey,27
Andrea Lee,27
Jerome Livingston,27
Kenneth Wade,27
Dr. Antonio Turner MD,27
Lori Harrison,27
Michelle Bowers,27
Amanda Perkins,27
Angela Lopez,27
Justin Ballard,27
Alexander Cox,26
Jennifer Mckinney,26
Scott Gibson,26
Carly Burton,26
Marcus Mcconnell,26
Tina Coleman,26
Tyler Garcia,26
Jerry Joseph,26
Nancy Williams,26
Gavin Caldwell,26
Jamie Ward,26
Christopher Thomas,26
Dean Newman,26
Joseph Allen,26
Laura Williams,26
Jacob Short MD,26
Christine Mendoza,26
Aaron Randall,26
Suzanne Miller,26
April Clarke,26
Cindy Roberts MD,26
Yvonne Luna,26
Joseph Butler,26
Danielle Callahan DDS,26
John Greene,26
Amy Gonzalez,26
James Wall,26
Scott Macias,25
Calvin Peterson,25
Jeremiah Smith,25
Stanley Donovan,25
Holly Peterson,25
Alexander Hill,25
Robert Kim DDS,25
Timothy Martinez,25
Jasmin Walsh,25
Pamela Johnson,25
Samantha Lawson,25
Lisa Black,25
Scott Marks,25
Kimberly Pennington,25
Michael Price,25
Victor Mora,25
Mario Scott,25
Jill Cook,25
Jeffrey Russell,25
Jo Huerta,25
Samuel Wyatt,25
Barbara Jones,25
Austin Roberts,25
Martha Kaufman,25
Richard Hayes,25
Timothy Harris,25
Elizabeth King,24
Christopher Chavez,24
Taylor Munoz,24
Carla Frederick,24
Jerry Cruz,24
Kelly Evans,24
Jennifer Rivera,24
Jermaine Rogers,24
Brandon Porter,24
Robert Dominguez,24
Peter Rhodes,24
Peter Lester,24
Katherine Morgan,24
Cindy Whitaker,24
Robin Jefferson,23
Richard Roberts,23
Barbara Ward,23
Miranda Mendoza,23
Alyssa Colon,23
Vanessa Paul,23
Rodney Richardson,23
Tyler Jones,23
Mark Higgins,23
Erin Pham,23
Kimberly Brown,23
Jonathan Pena,23
Ashley Rodriguez,23
Adam Garcia,23
Angela Adkins,22
Adam Henry,22
Daisy Martinez,22
Tracey Davidson,22
Janet Taylor,22
Joseph Padilla,22
Joseph Tran,22
Anthony Fuentes,21
Destiny Clark,21
Colleen Robinson,21
Alan Huffman,21
David Cruz,21
Ronald Holland,21
Chad Silva,20
Aaron Johnson,20
Mr. Jonathan Murphy,20
Jennifer Perez,20
Maria Brown,20
Benjamin Mays,19
Deanna Gilbert,19
Christopher Tucker,18
James Jones,18
Jennifer Kramer,17
Terri Page,16
Sara Wood,14
